id,type,name,description,feed,tags,inputid,outputid,transformer,columnblacklist,columnwhitelist,breakdataframelineage,persist
atl_fahrweg_gtgstrang,CustomSparkAction,"","",bew_atl_fahrweg_gtgstrang,"",stg_fahrweg_gtgstrang,atl_fahrweg_gtgstrang,className: ch.sbb.bigdata.anabel.atl.ATLFahrwegGtgstrangTransformer,"","",true,false
stg_formation_ihpt,CustomSparkAction,"","",bew_stg_formation_ihpt,"",ihpt_tf,stg_formation_ihpt,className: ch.sbb.bigdata.anabel.stg.formation.IHPTTransformer,"","",false,false
stg_strecke_gleis_bezug,CustomSparkAction,"","",stamm_stg_strecke_gleis_bezug,"","stg_strecken_dfa,dfagis_strecken_gleis_bezug",stg_strecke_gleis_bezug,className: ch.sbb.bigdata.anabel.stg.positionspunkt.StreckeGleisTransformer,"","",true,false
stg_gleiskante2gleisstrang,CustomSparkAction,"","",stamm_stg_gleiskante2gleisstrang,"","stg_strecken_dfa,stg_gleiskante_gtgstrang_mapping,stg_gtg2gleisstrang,stg_strecke_gleis_bezug",stg_gleiskante2gleisstrang,className: ch.sbb.bigdata.anabel.stg.positionspunkt.Gk2gsTransformer,"","",true,false
file_stammdaten_gefahrgut_leitstoff,FileTransferAction,"","",gefahrgut_leitstoff_file,"",git_stammdaten_gefahrgut_leitstoff,file_stammdaten_gefahrgut_leitstoff,"","","","",""
stg_gtg2gleisstrang,CustomSparkAction,"","",stamm_stg_gtg2gleisstrang,"","stg_gtgstrang,dmd_gs2gtg",stg_gtg2gleisstrang,className: ch.sbb.bigdata.anabel.stg.positionspunkt.Gtg2gsTransformer,"","",true,false
stg_zuglauf,CustomSparkAction,"","",bew_stg_zuglauf,"","rcs_zuglauf,uno_mitte_ag,uno_signal",stg_zuglauf,className: ch.sbb.bigdata.anabel.stg.zuglauf.ZuglaufTransformer,"","",false,false
stg_stamm_zugkategorie,CopyAction,"","",zugkategorie_stg,"",file_stammdaten_zugkategorie,stg_stammdaten_zugkategorie,"","","",false,false
stg_stammdaten_gefahrgut_bezeichnungen,CustomSparkAction,"","",gefahrgut_bezeichnungen_stg,"",file_stammdaten_gefahrgut_bezeichnungen,stg_stammdaten_gefahrgut_bezeichnungen,className: ch.sbb.bigdata.anabel.stammdaten.GefahrgutBezeichnungenTransformer,"","",false,false
stg_fahrweg_gleiskante,CustomSparkAction,"","",bew_stg_fahrweg_gleiskante,"","rcs_fahrweg,stg_zuglauf",stg_fahrweg_gleiskante,className: ch.sbb.bigdata.anabel.stg.zuglauf.FahrwegGkTransformer,"","",true,false
direktlink_gleisbelastung,CustomSparkAction,"","",direktlink_gleisbelastung,"","atl_fahrweg_gtgstrang,atl_formation,atl_zuglauf,stg_stammdaten_zugkategorie",direktlink_gleisbelastung,className: ch.sbb.bigdata.anabel.reporting.DirektlinkGleisbelastungTransformer,"","",true,false
atl_formation,CustomSparkAction,"","",bew_atl_formation,"","stg_zuglauf,stg_formation",atl_formation,className: ch.sbb.bigdata.anabel.atl.ATLFormationTransformer,"","",true,false
stg_zuglauf_ignorandum,CustomSparkAction,"","",bew_stg_zuglauf_ignorandum,"","rcs_zuglauf,stg_mag_ignorandum",stg_zuglauf_ignorandum,className: ch.sbb.bigdata.anabel.stg.zuglauf.ZuglaufIgnorandumTransformer,"","",false,false
file_fzg_stammdaten,FileTransferAction,"","",fzg_stammdaten_file,"",git_fzg_stammdaten,file_fzg_stammdaten,"","","","",""
stg_gtg2strecke,CustomSparkAction,"","",stamm_stg_gtg2strecke,"","stg_strecken_dfa,stg_strecke_gleis_bezug,stg_gtg2gleisstrang","stg_gtg2strecke_pre,stg_gtg2strecke",className: ch.sbb.bigdata.anabel.stg.positionspunkt.Gtg2StreckeTransformer,"","",true,false
